Time period,OrgCode,ParentOrgCode,Quarter,QuitStatus,Total
2018/19,E06000015,E12000004,3,Set quit date,471
2018/19,E06000015,E12000004,4,Not known,83
2018/19,E06000015,E12000004,4,Not quit,87
2018/19,E06000015,E12000004,4,Quit,329
2018/19,E06000015,E12000004,4,Quit CO,245
2018/19,E06000015,E12000004,4,Set quit date,499
2018/19,E06000016,E12000004,1,Not known,150
2018/19,E06000016,E12000004,1,Not quit,117
2018/19,E06000016,E12000004,1,Quit,337
2018/19,E06000016,E12000004,1,Quit CO,243
2018/19,E06000016,E12000004,1,Set quit date,604
2018/19,E06000016,E12000004,2,Not known,158
2018/19,E06000016,E12000004,2,Not quit,102
2018/19,E06000016,E12000004,2,Quit,326
2018/19,E06000016,E12000004,2,Quit CO,230
2018/19,E06000016,E12000004,2,Set quit date,586
2018/19,E06000016,E12000004,3,Not known,166
2018/19,E06000016,E12000004,3,Not quit,79
2018/19,E06000016,E12000004,3,Quit,303
2018/19,E06000016,E12000004,3,Quit CO,232
2018/19,E06000016,E12000004,3,Set quit date,548
2018/19,E06000016,E12000004,4,Not known,224
2018/19,E06000016,E12000004,4,Not quit,87
2018/19,E06000016,E12000004,4,Quit,365
2018/19,E06000016,E12000004,4,Quit CO,281
2018/19,E06000016,E12000004,4,Set quit date,676
2018/19,E06000017,E12000004,1,Not known,0
2018/19,E06000017,E12000004,1,Not quit,3
2018/19,E06000017,E12000004,1,Quit,12
2018/19,E06000017,E12000004,1,Quit CO,12
2018/19,E06000017,E12000004,1,Set quit date,15
2018/19,E06000017,E12000004,2,Not known,1
2018/19,E06000017,E12000004,2,Not quit,2
2018/19,E06000017,E12000004,2,Quit,18
2018/19,E06000017,E12000004,2,Quit CO,12
2018/19,E06000017,E12000004,2,Set quit date,21
2018/19,E06000017,E12000004,3,Not known,0
2018/19,E06000017,E12000004,3,Not quit,1
2018/19,E06000017,E12000004,3,Quit,13
2018/19,E06000017,E12000004,3,Quit CO,9
2018/19,E06000017,E12000004,3,Set quit date,14
2018/19,E06000017,E12000004,4,Not known,7
2018/19,E06000017,E12000004,4,Not quit,2
2018/19,E06000017,E12000004,4,Quit,21
2018/19,E06000017,E12000004,4,Quit CO,12
2018/19,E06000017,E12000004,4,Set quit date,30
2018/19,E06000019,E12000005,1,Not known,7
2018/19,E06000019,E12000005,1,Not quit,13
2018/19,E06000019,E12000005,1,Quit,8
2018/19,E06000019,E12000005,1,Quit CO,7
2018/19,E06000019,E12000005,1,Set quit date,28
2018/19,E06000019,E12000005,2,Not known,8
2018/19,E06000019,E12000005,2,Not quit,11
2018/19,E06000019,E12000005,2,Quit,12
2018/19,E06000019,E12000005,2,Quit CO,11
2018/19,E06000019,E12000005,2,Set quit date,31
2018/19,E06000019,E12000005,3,Not known,20
2018/19,E06000019,E12000005,3,Not quit,11
