,B82025,D82022,B87033,F81069,B83030,Y03812,B85037,Y01652,C86611,B86033,C83035,C86022,E82100,B83063,Y04099,B82008,C86018,B82057,Y03892,B82033,Y03955,C83004,M85146,B82074,B82098,B83040,B83054,B86064,C84060,Y03906,C86025,C83023,B86048,F81052,B87023,H82009,Y04113,C83044,F81094,B87015,B82032,Y03903,C87009,C86024,C83644,Y04020,B86015,B87017,C85019,C85004,B85033,B82005,Y03774,F81749,B82097,B83067,C85003,E82006,B82003,E82090,C87620,B85612,B87028,F81056,B82041,F81116,B82026,B81036,E82089,C84081,F81608,G82025,C85006,C87604,C83019,B87039,Y03762,B87027,C86029,B83050,C87002,C87029,C87007,B81088,C87030,B82083,B84623,C86609,Y03889,Y03418,B81043,C87014,Y03112,M84013,C86020,B82054,M84020,B87008,C87017,Y05290,C87622,B82092,B87001,B82063,Y03773,C87005,B82077,Y05113,C87020,C87008,B82088,B82037,Y02669,C87016,B82001,Y04019,B82073,B87022,B82038,H81109,C85016,C87015,Y06071,B87030,Y05248,B87011,B87020,C85023,C85020,C85030,C85005,C85007
2017-04-01,,,42,,,,,,,,,,,,,,,,,120,,,84,,,,60,,,,,20,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,64,,40,,30,,,,,66,,,,,3,84,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-01,132,,63,,,,,24,,,,,,,,60,,,,120,213,,84,,,,60,,,,,40,,,,,,,,,,,15,,,,,,,,,126,,,,,,,,,,,,,,,54,,,,,,,,,,,30,,,,,,,30,,,,,21,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-01,42,,42,,,,,8,,,,,,,,,,,,162,336,,84,,,,120,,,,,30,,,,,,,,,,,78,,,,,,,,,42,,,,,,,,,,,,,,,27,,,,,,,,,,,,15,,,,,,30,42,,,,15,,,,,,42,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-07-01,90,,63,,,,,9,,,,,,,,,,,,372,120,,84,,,,60,,,,,30,,,,,,,,,,,42,,,,,,,,,42,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,112,,40,,30,,,,,,,,,,3,,,,14,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,39,,42,,,,,9,,,,,,,,,,,,171,165,,,,,,60,9,,,,30,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,27,,,,,,,,,,,,,,56,,,,30,,,,,45,,,,,,,,,42,,3,42,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,39,,42,,,,,,,,,,,,,60,,,,162,402,,84,,,,60,9,,,,,,,,,,,,,,,42,,,,,,,,,42,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,40,,,,,,,45,,,,,,42,,,15,,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,42,,63,,,,,3,,,,,,,,,,,,120,506,,,,,,60,,,,,30,,,,,,,,,,,42,,,,,,,,,,90,,,,,,,,,,,,,,27,,,,,,,,,,,,15,,56,,78,,30,42,,,,,,,,,,,,,,84,12,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,84,,84,,,,,,,,,,,,,60,,,,204,249,,84,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,27,,,,,,,,,,,30,,,,,39,,,,,,,,,,,,,42,,,15,42,,57,,60,15,30,21,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,42,,42,,,,,,,,,,,,,60,,,,240,144,,84,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,,42,45,,,,,,,,,,,,,,27,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,30,,,,,120,42,30,42,126,105,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,42,,42,,,,,9,,,,,,,,,,,,120,336,,,,,,60,,,,,30,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,15,,,,39,,,,,,,,,,,,,42,,,,,,,,,,,,,,30,87,,,,,,,,,,,,,,,,,,,,,
2018-03-01,42,,,,,,,,,,,,,,,60,,,,120,186,,84,,,,60,,,,,,,,,,,,,,,,45,,,,,,,,,42,,,,,,,,,,,,,,,27,,,,,,,,,,,,15,,,,39,,,,,,,63,,,,,,,,,15,,,21,,60,,30,,,,30,,42,42,,,,,,,,,,,,,,,,,,,
2018-04-01,84,,,,,,,9,,,,,,,,,,,,,318,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,79,,,,,,,30,,,,,,45,,,,,,60,,,,,,,,,,,,42,84,14,,,,,,,,,,,,,,,,
2018-05-01,84,,,,,,,18,,,,,,,,,,,,120,60,,84,,,,120,,,,,30,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,42,,,,,27,,,,,,,,,,,,,,56,28,39,,60,,,,,87,,,,,,42,,,15,,,,,,,,,,,30,,,42,42,168,,,,,,,,,,,,,,,,,
2018-06-01,42,,,,,,,6,,,,,,,,60,,,,,45,,,,,,60,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,84,,,,,,,,126,,,,,,42,,,,,,,,,,,,,,30,,,,43,,,15,9,,,,,,,,,,,,,,
2018-07-01,84,,,,,,,,,,,,,,,,,,,120,228,,84,,,,60,,,,,30,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,42,30,,,,,,,,,15,,,,,,,,,,,,,,,84,,,,,168,9,,,,,,,,,,,,
2018-08-01,42,,,,,,,,,,,,,,,60,,,,120,,,,,,,60,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,81,,3,,,,,,,,,,,,56,84,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30,10,,84,84,,,,,,,21,,,,,,,,,,,
2018-09-01,126,,,,,,,3,,,,,,,,,,,,,120,,3,,,,60,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,84,40,,30,,,,,,,,,,,42,,,15,,,,,,,,,,,,,,,84,,,,,144,6,42,,,,,,,,,,,
2018-10-01,,,,,,,,,,,,,,,,60,,,,120,234,,84,,,,60,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,84,,,,,,,42,,,,,,,,,,,
2018-11-01,42,,,,,,,,,,,,,,,,,,,,368,,84,,,,60,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,56,84,,,,,,,,63,,,,,,,,,,,,,,,,,,,,31,,,,84,,,,,60,,21,,,,,,,,,,,
2018-12-01,84,,,,,,,,,,,,,,,60,,,,,238,,,,,,60,,,,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,126,,,,,3,42,,,30,,,,,,,,,,,30,,,,84,,,,,84,,,120,,,,,,,,,,
2019-01-01,57,,,,,,,,,,,,,,,60,,,,,255,,168,,,,60,,,,,,,,,60,3,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,84,40,,,,,,,,,,,,,42,,,,,,,,,,,,,,30,,42,,,,,,,144,,42,60,84,,,,,,,,,
2019-02-01,162,,,,,,,60,,,,,,,,60,,,,,60,,,,,,60,,,,,,,,,,42,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,30,,42,,,,,,,,,,60,30,,,,,,,,,
2019-03-01,21,,,,,,,60,,,,,,,,,,,,,210,,84,,,,60,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,84,39,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,56,84,,,,,60,3,,120,,,,,,,,,,
2019-04-01,,,,,,,,30,,,,,,,,,,,,,,,168,,,,60,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,84,,,60,,42,,,,,,,,
2019-05-01,42,,,,,,,,,,,,,,,60,,,,,180,,84,,,,60,,,,,,,,,,42,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,82,,,,84,,,,,60,,,120,,,,,,,,,,
2019-06-01,42,,,,,,,,,,,,,,,,,,,,90,,168,,,,120,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,84,39,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,15,36,,,,,,
2019-07-01,,,,,,,,,,,,,,,,,,,,,180,,84,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,84,,,,,,,,,,,,,3,,,,,,,,,,,,,144,,31,12,,112,,,,,,144,,,120,,42,,63,,,,,,
2019-08-01,42,,,,,,,,,,,,,,,60,,,,,90,,84,,,,60,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,39,,,,,,,,,,,,3,,,,,,,,,,,,,237,,,,,112,,,,,,,,,,,,,18,42,,,,,
2019-09-01,42,,,,,,,,,,,,,,,,,,,,300,,84,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,27,42,,,
2019-10-01,,,,,,,,30,,,,,,,,60,,,,,90,,84,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,42,,,,,,,,,,,,84,,,,,56,,,,,,84,,,,,,,,42,,,30,,
2019-11-01,42,,,,,,,,,,,,,,,,,,,,90,,168,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,39,,,42,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,60,,,,,,,,,,,,,
2019-12-01,,,,,,,,,,,,,,,,,,,,,330,,84,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,84,39,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,84,,,,,,,,,,,,,,,,,21,132
