,J82038,M87003,E82056,B84618,L81022,E87004,M82035,G82142,H82077,L84049,B81061,B81052,M82019,F84077,K82021,G84028,A81004,H84025,F86036,E82051,K82023,M84010,Y01090,D83033,Y01200,M91007,C81046,G82115,M83052,M85730,E87002,G84007,B82008,P87002,E83010,C82610,J84005,B81010,F83022,F84033,H82057,B86024,C88031,M91604,P81051,F84087,D81060,G82165,B82081,A84609,M92009,H82047,L83056,E82027,Y01655,P82640,M91614,A83070,C81030,M82007,M83617,M91020,H81057,B86042,J82076,P81659,Y02735,G84040,P89015,M82009,P84678,B86033,J82063,E83003,N81087,M85078,H81134,J82009,F82675,L83100,H84062,M83616,B83660,F84119,M84035,E83016,C85004,J84011,E82060,M82018,M87027,M85066,E82007,P89007,F81089,J83629,G81034,H84637,L83136,P81128,H82056,F81122,D81086,M82057,H85067,A89001,C81064,G82120,L82050,Y03054,F83032,M89011,D83006,G85129,E83638,E85120,H82009,P92651,E85716,M82026,J83003,C88034,H82092,D83030,H82030,M87014,F84621,F81023,F81010,M87024,Y02720,E87063,E83050,J82052,L83032,K84033,J82630,E87714,P81032,C82043,Y02849,E82071,D81017,A83013,G82048,M85019,H81078,P81770,P89004,D81001,L82054,Y00178,J82110,Y02182,F81031,F81104,H81010,F81013,L81622,B86047,J84019,Y00612,A86017,F85700,H81111,M81078,B84004,N81075,F81048,M83042,Y02811,G85053,H81004,J83049,Y00403,G81035,E81073,E87071,F83043,Y05162,E85745,H84030,C88652,M89005,F81152,G85705,M87012,A81034,H81080,Y05187,G85054,H82078,M91018,M92008,M88619,G85073,D83041,M85123,P81172,M82059,A81051,Y01652,J82104,H84016,J82102,E85723,M84063,E82109,M83693,M92649,F81749,F85035,E83600,J81032,F81098,K81067,C81020,Y00200,P81755,N82117,G85034,E82111,D81022,C88083,C88036,B86002,K81062,Y04634,J81647,J81034,Y01168,G82200,L81021,J81041,M85035,D83039,F82028,H81097,J81012,E84068,P81006,D83051,N81050,G82158,P82015,P81655,H83013,B83063,F82007,N82079,F83615,C83027,M86002,B82050,B81082,B81020,C88016,J82015,B81119,G83053,B85019,E81046,B81054,E84006,N81033,N85008,A83049,B81011,B81005,G82790,J81018,B81635,B81025,E85020,L82009,C81007,D81034,F81017,L82012,B81101,B81017,G84005,N81013,H81015,D83074,B81034,J83019,D83029,B81014,B81037,J81073,B82030,B84008,M84044,N84018,B81645,B83058,B83017,B81040,H81094,K84058,C81080,K83030,N85024,D82025,B81112,P88042,B81100,E82001,B81048,K81074,D81033,N81088,M88018,L83117,B81041,B86059,F81115,F83045,M82011,L82049,K83031,B81035,J82067,B81008,B81616,B82105,Y02747,B81004,C84131,L83147
2017-07-01,,,100,90,,,,40,60,,,,60,,,240,28,,180,60,,,,,,,60,,,,5,100,,,180,,30,,,,120,,,,,,,,,,112,,,100,,,,,,,,,,56,,,,28,,,,,64,,,,,,,,,,,,,,56,,120,,,,112,,120,,60,,,,,,,,90,,200,,,,,,,,,,,4,,,,,,,6,,,,,,,,120,,,,,,,,,,,28,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,56,1,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-01,,,,,,,,40,,,,,30,,,,28,,,,,,,,,,,,,,,,,60,,,30,,,,,,,,,,,,,,224,,,,,,,,28,,,,,,28,,,28,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,60,90,,,,,,,,,,,,,,,,,84,,,3,,,90,,28,,,120,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,2,,,,60,,,,,,,,84,,,,60,,,,,,120,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-01,,,100,,,,,,,,,,30,,,,,,,,,,2,,,,60,,,,5,,,,,,30,,,84,,,,,,,,,,,112,,,,,,,,28,,,,,,,112,,28,,28,,,,,,,,,,,,,,,,,28,,220,,,,,,60,,60,,,,,,,,,,,,,,,,,112,,,,,,,84,,120,,,,,,,,,,120,,,,,,,,,,,28,,,,,,,,,120,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-10-01,,,,90,,,,20,,,,,,,,240,28,100,,,,,2,,,,,,,,5,,,,,,,,,,,,60,,,,,,,,112,,,,90,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,60,,,56,,60,,,,,,100,,,,90,,,,,,,,,112,,,,4,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,60,,,,,,,,60,,28,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-11-01,,,,,,,,40,,,,,60,,,,,,30,60,,,,,,,,,,,5,,,,,,30,,,,,,,,,,,,,,112,,,100,,,,,28,,,,,,28,,,28,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,120,,,,,,,,,200,,14,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,112,,,,,,,,,90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-01,,,100,,,,,20,,,,,30,,,240,,,,,,,,,,,,,,,5,100,,60,180,,56,,,,,,,,,,,,,,112,,,,,,,,,,,,,,28,56,,,,,,,,,,,,,,,,,,,,,28,,100,,,,,,,,60,,,,,,120,,,,,,,,14,,,112,,,,,,,,84,,,,,,,,,,,,,,,,,,,,180,,56,,,,,,,,,60,,,,,,,,,,2,,,,,,,,,,112,,,180,,,60,,,,,180,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,,,,90,,12,,20,,,,,,,,,,,,60,,,,,,,,,,,5,,,,,,56,,,,,,,,,,,,,,112,,,,90,,,,28,,120,,,,,56,,28,,,,,,,,,,,,,,,,,,,28,,60,,,,,,60,,,,,,,,,,90,,,,,,,,,112,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,2,,,,120,,,,,,56,,,,,,60,,,,,,,,30,,,,,,,30,3,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,,,100,,,,,60,60,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,32,,,,,,,,,,,,,,,,60,60,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,,,,,,12,,40,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,84,,,,,,,,,,,224,,,,,,,,,,,,,56,56,,,28,,,,,32,,,,,,,,,,,,,,,,60,,,,,,,,60,,,,100,,,60,,,,,,,,,,112,,,,,,,,,60,,,100,,,,,,,,,,,,,,,,380,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,84,,,,30,,,,,,,,,,,,90,,,30,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-01,,,100,,,,,,120,,,,,,,240,,,180,,,,,,,,141,,,,10,,,60,,,112,,,,,,,,,,,,,,,,,,90,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,112,,60,,,,,,60,,60,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,80,,,,,,2,,,,60,,,,,,,,84,,,,30,,,,,,,,30,,,,,,50,,,,,,1,90,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-01,,,,,,12,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,100,,,,,,,,,,56,56,56,,28,,,,,,,,,,,,,,,,,,,,,,60,,,56,,60,,,,,,,,120,,90,,,,,,,,,112,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-01,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,56,,,,,,,,,,,,,,112,,,100,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,120,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-01,,,,,,,,,120,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,252,,,,,,,,,,,112,,,,90,,,,,,,,,56,,,,28,,,100,,,,,,,,,,,,,,,,28,,120,,,,56,,60,,120,,,,100,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,84,,,,60,,,,,,,,,,,,,,50,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-01,,,,90,,12,,60,,,,,,,,,,,180,60,,,2,,,,,,,,,,,60,180,,56,,,168,,,,,,,,,,,112,,,,,,,,,,,,,,28,56,,,,,,,,,,,,,,,,,,,,,28,,,,,,56,,,168,,,,,,,,,90,,,,,,,,,,,,,,,,60,,,,,,,100,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,60,,,,,,,,30,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,,,100,,,,,,,,,,,,,240,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,100,,,,,,,,,,56,28,56,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,120,,,,,,,,,,,112,,,,,,,,,120,,,,,,,,,,,,,,,168,,,,180,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,100,,,,14,56,15,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-01,,,,,,,,20,60,,,,,,,,,,,,,,,,,,,,,,,200,,,,,56,,,,,,,,,,,,,,112,,,,90,,,,84,,120,,,,50,56,,,,,,,,,,,,,,,,,,,,,28,,180,60,,,,,60,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,2,,,,,,,,,,56,,84,,,,30,,,,,,,,,,,,90,,,,,,,,,,,,,,,,14,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-01,,,100,,,24,,20,60,,,,,,,,,,180,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,100,56,,28,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,60,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,60,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,180,,,100,,,,,,15,,30,4,28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-01,,,,,,,,20,,,,,,,,240,,,,,,,,,,,120,,,,,,,,180,,56,,,,,,,,,,,,,,336,,,,,,,,28,,,,,56,,,,28,,,,,,,,,,,,,,,,,,,28,,60,,,,112,,,158,,,,,100,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,56,,84,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-01,,,,90,,,,20,,,,,,,,,,,,60,,,2,,,,60,,,,,,,,,,,,,,,,,,,,,,,,196,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,60,,60,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,30,,,,,,,,,,,,90,,,,,,,,,180,,,100,,,,14,,15,,30,,28,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-02-01,,,,,,12,,20,,,,,,,,240,,,180,,,,,,,,,,,,,,,60,,,,,,168,,,,,,,,,,,100,,,,90,,,,28,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,,,100,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,30,,,,,,50,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-01,,,,,,12,,80,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,112,,,130,,,,,28,,,,,,200,112,,,,,,,,,,,,,,,,,,,,,,,30,,30,,112,,60,,,,,,100,,,,,,200,,,,112,,,112,,,,,,,40,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,2,,,,,,,,,,,,84,,,,60,,,,,,,,,,,,,,,,,,100,,,180,,,,,,,42,,,,30,,140,,,30,30,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-04-01,,,,90,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,112,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,60,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-05-01,,,100,90,,,,,120,,,,,,,240,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,60,60,,,56,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,200,,,,2,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,30,,,,,,,,56,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-01,,,,,,12,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,28,,,,,,,,,,,,,,,,,,,,,30,,,,,,,100,60,,,,,,120,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,112,,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-01,,,,,,,,20,,,,,,,,240,,,,,,,2,,,,,,,,,,,,200,,,,,,,,,,,,,,,,448,,,,90,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,60,,,,,,100,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,90,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,28,28,28,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-08-01,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,100,,60,,,56,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,210,,30,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,30,,,,,,,,,,,,,,,,,,,,,180,,,,,,,14,,,,,,,,,,30,,,,,,,,,,30,168,28,28,56,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-09-01,,,,90,,,,20,,,,,,,,240,,,,,,,2,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,30,60,30,,56,,60,,60,,,,,,,,,,200,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,30,,,,,,,,,1,,,90,,50,,,,,,,,,,,,,,,,,,30,,,,,,,,56,,,,,,,,,,28,,84,,28,,28,28,2,84,28,28,28,28,28,28,50,28,28,120,28,84,28,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-01,,,,,,12,,,120,,28,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,50,50,,,28,,,,,,,,,,,,,,,,,,,,,60,,30,,,,,,,,,,,,120,,,,,,,,56,,,,,,,,,,,,60,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,84,,,,60,,,,,,,,,,,,,,,,,,,,,,,,100,,,,28,,,,,,,,,,,270,56,,,100,,,,,,,28,56,,,,28,28,,14,,28,28,,,28,28,,28,,120,56,,,,28,30,56,28,28,28,28,28,28,1,28,28,28,28,28,28,28,28,28,28,56,56,28,28,28,28,28,28,28,28,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-01,,,,60,,2,,40,,,28,,,,,240,,,,60,,,,,,,,,,,,,,60,,,56,28,,,,,,,,,,,,,224,,,,,,,,,,120,,,,,,,28,,,,,32,,,,,,,,,,,,,,,,30,,,,168,,,100,,,,,,,,,,,,,,,,,,112,,,,,,,,,,,,,,,,,,,,,,,,168,28,,,200,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,14,,,,,,,,,,30,,,,,,,,,,,168,,,84,,28,28,28,,,,56,,,28,28,28,,28,,120,28,,,,,58,28,28,28,28,56,,,,,,,28,28,56,56,,,,56,,,28,28,56,28,56,,,,84,28,28,28,28,28,28,28,28,56,28,28,28,56,200,56,28,28,28,28,28,56,84,28,28,28,84,28,28,,,,,,,,,,,,,,,,,,,
2019-12-01,,,,60,,,,20,,,56,,,,,,,,,,28,,,,,,60,,,,,,,,,,120,112,,168,,,,,,,,,,,112,,,100,,,,,,,,,,50,50,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,56,,84,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,28,,,,,,,,,,,,56,,,,,,28,,,112,,,,,28,56,28,,,,56,,,,28,28,,,,,,84,,28,,28,,56,28,112,56,,,,,,,,56,28,56,,,,24,56,,,,,28,,28,,28,,,,,28,,28,,,,,28,,,,,56,,,28,,28,,,,28,84,,28,56,28,28,28,28,28,84,28,28,28,28,28,28,56,28,28,28,28,56
